,time_seconds,time_seconds_delta,Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,fAmag,fAmag_norm,Std threshold,Q3 threshold,HO threshold
28,8.845,0.31900000000000084,1900-01-01 18:15:26.166,-12704,1920,-2816,509.873474,-109.074547,-424.666016,13153.245683100426,672.4651971941717,0.4015760106062737,Abnormal data,Abnormal data,Abnormal data
29,8.911,0.06599999999999895,1900-01-01 18:15:26.232,12096,3808,-2112,1179.455933,24.739237,-484.473206,12855.917859102865,1275.3205930542174,0.7872468472928784,Abnormal data,Abnormal data,Abnormal data
30,9.048,0.13700000000000045,1900-01-01 18:15:26.369,6976,-1056,2752,1564.653931,-13.65848,-370.077423,7573.190608983772,1607.8823890085944,1.0,Abnormal data,Abnormal data,Abnormal data
31,9.339,0.29100000000000037,1900-01-01 18:15:26.660,1664,-4096,1632,1571.512573,-156.645538,-297.464478,4712.6994387505765,1607.0702247705924,0.9994804258809854,Abnormal data,Abnormal data,Abnormal data
32,9.408,0.06899999999999906,1900-01-01 18:15:26.729,-224,-512,-1536,1455.344604,-169.616882,-342.485138,1634.5078770076332,1504.6906236174257,0.933984078485682,Abnormal data,Abnormal data,Abnormal data
33,9.495,0.08699999999999974,1900-01-01 18:15:26.816,32,-1888,32,1365.940674,-230.548126,-329.036407,1888.542294998976,1423.8017138707046,0.882236190493107,Abnormal data,Abnormal data,Abnormal data
34,9.635,0.14000000000000057,1900-01-01 18:15:26.956,-384,-1120,576,1259.753174,-262.016479,-297.434204,1316.674599132223,1320.6429496195196,0.8162413811349652,Abnormal data,Abnormal data,Abnormal data
35,9.724,0.08900000000000041,1900-01-01 18:15:27.045,768,-32,-800,1230.69397,-254.021729,-314.687164,1109.4358926950217,1295.4391910795634,0.800117523389801,Abnormal data,Abnormal data,Abnormal data
36,9.813,0.08900000000000041,1900-01-01 18:15:27.134,192,-1088,-288,1172.201172,-282.159393,-313.792816,1141.7320175943214,1245.847278790427,0.7683915830784364,Abnormal data,Abnormal data,Abnormal data
37,9.899,0.08599999999999852,1900-01-01 18:15:27.220,-800,-1376,1344,1064.994507,-318.435791,-260.009338,2083.197542241254,1141.5864000491454,0.7016917067665294,Abnormal data,Abnormal data,Abnormal data
38,10.082,0.1830000000000016,1900-01-01 18:15:27.403,-544,-352,320,978.943604,-319.53598,-241.198792,722.6617466007177,1057.6439285455804,0.6479903325387417,Abnormal data,Abnormal data,Abnormal data
39,10.219,0.13699999999999868,1900-01-01 18:15:27.540,-256,32,-96,914.338379,-308.37149,-236.586472,275.27440854536405,993.5194038822667,0.6069672957560165,Abnormal data,Abnormal data,Abnormal data
40,10.553,0.3340000000000014,1900-01-01 18:15:27.874,-576,480,-64,838.511475,-283.938843,-231.258011,752.5104650435102,914.9879933215137,0.5567275947843823,Abnormal data,Abnormal data,Abnormal data
41,10.709,0.1559999999999988,1900-01-01 18:15:28.030,96,-192,-640,801.544128,-281.132935,-243.540619,675.0407395113276,883.6406222983967,0.5366734211078517,Abnormal data,Abnormal data,Abnormal data
42,10.802,0.09299999999999997,1900-01-01 18:15:28.123,-640,-640,-928,732.211426,-291.779877,-263.66687,1296.296262433862,831.1373456431166,0.5030849639496595,Abnormal data,Abnormal data,Abnormal data
43,10.934,0.13199999999999967,1900-01-01 18:15:28.255,224,1056,-544,708.24939,-252.675156,-271.780945,1208.8209131215426,799.5791486526455,0.48289591642480123,Abnormal data,Abnormal data,Abnormal data
44,11.028,0.0940000000000012,1900-01-01 18:15:28.349,608,-736,-128,703.691711,-266.659729,-267.714325,963.1946843707143,798.7242296379062,0.48234899035599926,Abnormal data,Abnormal data,Abnormal data
45,11.114,0.0860000000000003,1900-01-01 18:15:28.435,1632,96,192,744.138,-256.365784,-255.034302,1646.0571071502957,827.3495473175542,0.5006617570588333,Abnormal data,Abnormal data,Abnormal data
46,11.207,0.09299999999999997,1900-01-01 18:15:28.528,-640,0,-1120,685.321777,-249.239899,-278.459412,1289.9612397277679,780.5934341354363,0.4707499914596625,Abnormal data,Abnormal data,Abnormal data
47,11.339,0.13199999999999967,1900-01-01 18:15:28.660,480,672,-448,676.730652,-224.201538,-283.005127,939.5147683778047,767.0219077094191,0.46206774031323417,Abnormal data,Abnormal data,Abnormal data
48,11.521,0.18200000000000038,1900-01-01 18:15:28.842,-1024,-832,-352,608.157288,-240.572113,-284.812653,1365.5416507745197,713.3361590510452,0.4277228082691515,Abnormal data,Abnormal data,Abnormal data
49,11.612,0.0909999999999993,1900-01-01 18:15:28.933,-1216,-352,-224,535.149353,-243.529205,-283.258057,1285.5878033024426,652.6303935304162,0.3888868891734268,Abnormal data,Abnormal data,Abnormal data
50,11.702,0.08999999999999986,1900-01-01 18:15:29.023,384,992,1952,529.128967,-211.518875,-227.475128,2223.021367418676,613.5655075526729,0.3638955108701616,Abnormal data,Abnormal data,Abnormal data
51,11.79,0.08799999999999919,1900-01-01 18:15:29.111,-928,-768,-352,473.151459,-225.910492,-230.639191,1254.954979272165,572.8021385911939,0.3378175447086244,Abnormal data,Abnormal data,Abnormal data
52,12.015,0.22500000000000142,1900-01-01 18:15:29.336,192,128,832,462.458649,-216.891693,-204.243576,863.4072040468507,550.1140307832361,0.32330304988744457,Abnormal data,Abnormal data,Abnormal data
53,12.648,0.6329999999999991,1900-01-01 18:15:29.969,320,96,160,457.210876,-209.062668,-195.232193,370.4267808892872,539.3186381607396,0.31639680315950586,Abnormal data,Abnormal data,Abnormal data
54,12.734,0.0860000000000003,1900-01-01 18:15:30.055,1504,1216,352,494.503845,-174.063538,-181.92662,1965.8524868361817,554.9139239967635,0.3263737345729926,Abnormal data,Abnormal data,Abnormal data
55,12.869,0.1349999999999998,1900-01-01 18:15:30.190,192,-192,-96,483.887329,-174.505447,-179.865173,288.0,544.9317192619127,0.3199877168339051,Abnormal data,Abnormal data,Abnormal data
56,13.186,0.31700000000000017,1900-01-01 18:15:30.507,384,768,-864,480.480804,-151.835007,-195.920425,1218.103443883154,540.6482084455262,0.3172473827308071,Abnormal data,Abnormal data,Abnormal data
57,13.281,0.09500000000000064,1900-01-01 18:15:30.602,-5184,544,-1504,293.311401,-135.190231,-226.315353,5425.109031162416,394.36862897285675,0.22366645404905378,Abnormal data,Abnormal data,Normal data
58,13.948,0.6669999999999998,1900-01-01 18:15:31.269,-512,-384,-1440,264.738281,-141.081833,-254.580719,1575.8172482873767,393.4485779819668,0.22307786043624445,Abnormal data,Abnormal data,Normal data
59,14.172,0.2240000000000002,1900-01-01 18:15:31.493,-1216,-256,1920,213.211914,-143.752975,-203.916397,2287.0487533063215,328.1861286805944,0.18132684750822767,Normal data,Abnormal data,Normal data
60,14.262,0.08999999999999986,1900-01-01 18:15:31.583,-96,480,-704,202.516571,-129.552063,-215.785721,857.4567044463528,323.04825637146513,0.1780399440055661,Normal data,Abnormal data,Normal data
61,14.402,0.1399999999999988,1900-01-01 18:15:31.723,-32,-384,-1376,194.629211,-135.285156,-242.947342,1428.935267953031,339.42011459737006,0.18851368000172705,Normal data,Abnormal data,Normal data
62,14.625,0.22300000000000075,1900-01-01 18:15:31.946,96,-608,512,191.405441,-145.753281,-225.286316,800.6397442045954,329.5967019609287,0.18222924795279566,Normal data,Abnormal data,Normal data
63,14.848,0.22300000000000075,1900-01-01 18:15:32.169,672,288,-1152,206.645874,-136.269135,-246.782471,1364.4163587409819,349.5330919780528,0.19498335826053473,Normal data,Abnormal data,Normal data
64,15.255,0.40700000000000003,1900-01-01 18:15:32.576,992,768,128,231.010056,-116.755875,-238.132217,1261.059871695234,351.71655220286954,0.19638020556016889,Abnormal data,Abnormal data,Normal data
65,15.845,0.5899999999999999,1900-01-01 18:15:33.166,64,672,-192,225.908249,-99.799965,-237.083847,701.8147903827619,342.34970496345784,0.19038785675356024,Normal data,Abnormal data,Normal data
66,15.979,0.13399999999999856,1900-01-01 18:15:33.300,704,1280,1280,240.125946,-70.314301,-203.343353,1942.2708359031703,322.4175709802369,0.1776364692018381,Normal data,Abnormal data,Normal data
67,16.075,0.09600000000000009,1900-01-01 18:15:33.396,-1504,-1504,224,189.288696,-101.120461,-193.770081,2138.7398158728893,289.14080022884957,0.15634798094072394,Normal data,Abnormal data,Normal data
68,16.158,0.08300000000000196,1900-01-01 18:15:33.479,224,-320,-864,190.305084,-105.853844,-208.578217,948.1940729618594,301.539274212701,0.16427978327313464,Normal data,Abnormal data,Normal data
69,16.295,0.13700000000000045,1900-01-01 18:15:33.616,-1600,0,-416,139.339798,-103.603554,-213.120743,1653.1956931954546,274.8994849121834,0.1472372389096922,Normal data,Abnormal data,Normal data
70,16.467,0.17199999999999704,1900-01-01 18:15:33.788,480,-288,768,149.097031,-107.44989,-192.009384,950.3515139147198,265.78752238975875,0.1414079501050908,Normal data,Abnormal data,Normal data
71,17.322,0.8550000000000004,1900-01-01 18:15:34.643,576,1216,768,161.062683,-80.310333,-171.399139,1549.2759599245062,248.5328998174501,0.1303694742618411,Normal data,Normal data,Normal data
72,17.727,0.40500000000000114,1900-01-01 18:15:35.048,-768,544,-2144,135.521652,-67.43985,-213.637421,2341.47304063062,261.8304779439606,0.13887646966600498,Normal data,Abnormal data,Normal data
73,18.133,0.4059999999999988,1900-01-01 18:15:35.454,1152,608,896,163.209747,-53.6297,-189.477676,1581.00727386056,255.76425852776026,0.134995665191438,Normal data,Abnormal data,Normal data
74,18.764,0.6310000000000002,1900-01-01 18:15:36.085,-96,32,640,156.200348,-51.891273,-171.418869,647.9506154021308,237.64612678964662,0.12340476781435186,Normal data,Normal data,Normal data
75,19.261,0.4969999999999999,1900-01-01 18:15:36.582,-640,-224,480,135.131027,-55.32159,-157.313538,830.7683190878189,214.63555627220822,0.108683980632152,Normal data,Normal data,Normal data
76,19.618,0.3569999999999993,1900-01-01 18:15:36.939,-2304,-768,-1024,71.27478,-69.295479,-175.91655,2635.681316092672,202.06085775773184,0.1006394403817637,Normal data,Normal data,Normal data
77,20.251,0.6330000000000027,1900-01-01 18:15:37.572,-320,-608,-736,60.81863,-79.79982,-187.885498,1006.8564942433455,212.99736473913782,0.10763596363910373,Normal data,Normal data,Normal data
78,20.429,0.17799999999999727,1900-01-01 18:15:37.750,320,-160,-896,60.201271,-74.963997,-195.448273,964.7880596276054,217.81602625820253,0.1107186551643508,Normal data,Normal data,Normal data
79,20.519,0.08999999999999986,1900-01-01 18:15:37.840,960,-544,-32,82.8619,-83.763672,-192.062378,1103.8840518822617,225.3228888984616,0.11552109703555577,Normal data,Normal data,Normal data
80,20.654,0.13500000000000156,1900-01-01 18:15:37.975,-704,384,96,63.193123,-75.070175,-186.197433,807.6434857039336,210.47181764980613,0.10602026961741483,Normal data,Normal data,Normal data
81,20.746,0.09199999999999875,1900-01-01 18:15:38.067,-672,128,352,44.98888,-71.33091,-175.397751,769.3321779309637,194.61877890106214,0.09587844330178431,Normal data,Normal data,Normal data
82,21.061,0.3150000000000013,1900-01-01 18:15:38.382,160,-224,-544,47.807739,-74.102287,-182.725266,609.6818842642448,202.89221690763114,0.101171294257719,Normal data,Normal data,Normal data
83,21.149,0.08800000000000097,1900-01-01 18:15:38.470,64,320,-384,48.19598,-67.054688,-186.676804,503.9365039367559,204.12597292503511,0.10196057758962067,Normal data,Normal data,Normal data
84,21.285,0.13599999999999923,1900-01-01 18:15:38.606,64,480,256,48.566154,-57.36935,-178.119614,547.7517685959581,193.33005592841278,0.09505399539846934,Normal data,Normal data,Normal data
85,21.372,0.08699999999999974,1900-01-01 18:15:38.693,0,1504,-896,47.454292,-29.915003,-191.851715,1750.6661589235111,199.88471122662807,0.0992472719460709,Normal data,Normal data,Normal data
86,21.508,0.13599999999999923,1900-01-01 18:15:38.829,672,-160,-416,61.445774,-32.231773,-196.118149,806.3746027746657,208.0307638316237,0.10445862933863392,Normal data,Normal data,Normal data
87,21.646,0.13800000000000168,1900-01-01 18:15:38.967,832,192,-448,78.536201,-28.298132,-200.843613,964.2572270924393,217.50143913338962,0.11051740113150875,Normal data,Normal data,Normal data
88,21.734,0.08800000000000097,1900-01-01 18:15:39.055,-384,-672,1440,68.348763,-39.444656,-170.477829,1634.8210911289345,187.85665937395393,0.09155244354511946,Normal data,Normal data,Normal data
89,21.823,0.08899999999999864,1900-01-01 18:15:39.144,-512,-32,-96,55.728764,-39.316334,-169.080994,521.9042057696029,182.31799633660768,0.08800913809839439,Normal data,Normal data,Normal data
90,22.064,0.24099999999999966,1900-01-01 18:15:39.385,-160,-256,128,51.08532,-42.988537,-163.603806,327.90242451070714,176.70294160140176,0.08441696181094735,Normal data,Normal data,Normal data
91,22.183,0.11899999999999977,1900-01-01 18:15:39.504,-448,-576,-128,40.524727,-51.908955,-162.955505,740.8535617785744,175.75918103308737,0.08381320022813134,Normal data,Normal data,Normal data
92,22.272,0.08899999999999864,1900-01-01 18:15:39.593,-672,608,64,25.615902,-40.932716,-158.894043,908.4844522610169,166.06919815334845,0.07761412855958254,Normal data,Normal data,Normal data
