Time,X,Y,Z,X_f,Y_f,Z_f
2923737,-32,64,32,0.340941,-0.085435,2.700631
2923834,32,-32,32,0.383961,-0.11819,2.76246
2923932,0,64,160,0.38344,-0.05241,3.093769
2924029,0,-64,0,0.38292,-0.118032,3.087244
2924127,-32,64,0,0.339067,-0.052218,3.080745
2924224,-32,-32,32,0.295303,-0.085019,3.141494
2924322,0,32,32,0.294904,-0.05209,3.202023
2924419,96,0,32,0.424153,-0.052037,3.262333
2924517,-64,0,32,0.3371,-0.051984,3.322426
2924614,-32,-160,-64,0.293407,-0.215739,3.181863
2924712,32,-64,0,0.336218,-0.281184,3.175224
2924809,-320,-256,352,-0.095992,-0.543624,3.901528
2924907,-64,32,-32,-0.182648,-0.510089,3.826411
2925004,-288,32,-128,-0.572909,-0.476601,3.550972
2925102,96,-32,64,-0.441389,-0.50906,3.677343
2925199,-32,256,64,-0.484392,-0.245042,3.803339
2925297,32,-64,-64,-0.440159,-0.310931,3.661843
2925394,-64,-128,-32,-0.526644,-0.442928,3.587476
2925492,96,96,0,-0.395314,-0.343081,3.580006
2925589,-32,-64,-128,-0.438338,-0.409043,3.306545
2925687,32,-64,64,-0.394211,-0.474953,3.432752
2925784,0,-96,-96,-0.393675,-0.573985,3.226168
2925882,0,32,-128,-0.393141,-0.540186,2.953555
2926028,160,128,0,-0.175695,-0.406862,2.947416
2926174,-32,0,64,-0.218919,-0.40644,3.074061
2926272,-96,-32,-128,-0.348916,-0.439225,2.802398
2000292,32,64,-32,-0.304986,-0.372382,2.730228
2926000,-32,-96,-32,-0.738061,-0.637267,2.123404
2926662,64,0,-32,-0.64989,-0.636604,2.052619
2926759,64,64,-64,-0.561845,-0.569406,1.915793
2926857,96,0,32,-0.43035,-0.568814,1.978065
2926954,-32,0,64,-0.473365,-0.568223,2.106257
2927052,-96,384,96,-0.603429,-0.169135,2.300164
2927149,0,0,64,-0.602607,-0.168959,2.427561
2927247,160,64,32,-0.384115,-0.101995,2.48857
2927344,-64,32,32,-0.470821,-0.068487,2.549365
2927442,-96,-64,64,-0.601011,-0.135192,2.67577
2927539,32,0,-64,-0.556557,-0.135051,2.538731
2927637,64,-32,-96,-0.468592,-0.168271,2.33635
2927734,0,-64,128,-0.467954,-0.234792,2.594418
2927832,32,0,-64,-0.423776,-0.234547,2.457595
2927929,-64,0,32,-0.51022,-0.234303,2.518248
2928027,32,-32,0,-0.46602,-0.267346,2.513085
2928124,-64,0,0,-0.552338,-0.267068,2.507943
2928222,-64,0,0,-0.638531,-0.26679,2.502822
2928319,-32,0,0,-0.681132,-0.266513,2.497722
2928417,64,-32,-32,-0.593335,-0.299407,2.42756
2928422,-32,-32,160,-0.635963,-0.332254,2.747603
2928660,0,0,128,-0.6351,-0.33191,3.002284
2928758,-128,-128,128,-0.807613,-0.464004,3.256566
2928856,32,-64,-64,-0.763123,-0.529842,3.119683
2928953,0,0,-96,-0.762089,-0.529293,2.918092
2929050,32,-32,-32,-0.717751,-0.561878,2.847079
2929148,-32,32,32,-0.760057,-0.528177,2.906288
2929245,0,64,96,-0.75903,-0.461416,3.095087
2929343,-64,-96,-32,-0.844379,-0.560286,3.023924
2929440,64,32,0,-0.756873,-0.526561,3.017801
2929538,32,64,96,-0.712671,-0.459752,3.205723
2929635,-128,0,32,-0.884314,-0.459276,3.263908
2929733,-96,32,64,-1.012727,-0.425695,3.386461
2929830,64,0,0,-0.924907,-0.425255,3.379634
2929928,-32,64,-160,-0.966881,-0.358696,3.050871
2930025,32,0,128,-0.922384,-0.358326,3.302615
2930123,64,64,32,-0.834815,-0.291888,3.360461
2930220,0,-64,0,-0.833689,-0.357671,3.353697
2930318,64,0,-128,-0.745355,-0.323917,2.954956
2930513,-64,-32,32,-0.830439,-0.356586,3.013302
2930610,-32,0,-32,-0.872362,-0.356219,2.943067
2930708,-32,0,0,-0.914198,-0.355852,2.937171
2930805,32,64,-32,-0.869992,-0.28964,2.867316
2930903,64,96,-64,-0.782928,-0.190547,2.733792
2931000,96,32,64,-0.653038,-0.15739,2.856051
2931098,0,-64,32,-0.652161,-0.223124,2.914163
2931195,-64,0,0,-0.737116,-0.222894,2.908361
2931293,-32,0,32,-0.779039,-0.222665,2.966176
2931439,32,32,-64,-0.735114,-0.189547,2.833278
2931537,0,0,128,-0.73413,-0.189353,3.081517
2931634,-96,-32,0,-0.861532,-0.222001,3.075402
2931732,32,0,0,-0.81756,-0.221773,3.069311
2931829,-32,-96,96,-0.859257,-0.319935,3.253006
2931927,0,-32,32,-0.858109,-0.352432,3.309823
2932024,32,64,0,-0.814261,-0.286445,3.30329
2932122,32,0,0,-0.770501,-0.286152,3.296783
2932219,96,0,128,-0.641539,-0.285858,3.541972
2932317,-32,0,-64,-0.683354,-0.285566,3.409103
2932414,-192,-448,96,-0.938286,-0.743367,3.591136
2932512,224,64,64,-0.637808,-0.676641,3.709884
2932609,320,-480,-128,-0.208142,-1.170772,3.451171
2932707,96,-32,32,-0.078567,-1.202825,3.507286
2932804,0,96,64,-0.078461,-1.101807,3.626023
2932902,-64,-640,192,-0.164485,-1.766382,3.99549
2932999,-480,-160,160,-0.810192,-1.932903,4.302019
2933097,192,288,-64,-0.548596,-1.627143,4.16766
2933194,96,-256,-288,-0.417277,-1.896672,3.593277
2933292,64,256,128,-0.329611,-1.622311,3.838796
2933389,192,96,32,-0.067888,-1.518032,3.894402
2933487,-192,-544,352,-0.329717,-2.098014,4.580777
2933633,3872,6272,-4832,4.965844,4.675242,-5.003087
2933730,-2624,-9088,2720,1.097893,-6.359165,0.906087
2933828,0,-6976,-9024,1.096196,-16.340967,-19.683949
2933925,-12096,13824,-2784,-17.580429,6.207171,-27.108997
2934023,3264,1472,-2368,-11.300284,9.249871,-33.725582
2934120,-2976,2208,-288,-17.334066,13.937836,-34.475723
2934218,768,1088,-192,-15.644619,16.323242,-34.941422
2934316,128,576,-96,-15.331435,17.590067,-35.121967
2934413,-448,-32,416,-16.275415,17.476824,-33.790356
2934500,96,-32,128,-16.343613,16.449808,-33.400486
2934754,-1888,1824,1312,-20.456379,20.590296,-29.413603
2934852,1248,-3072,-5984,-17.57132,13.2675,-47.478916
2934949,384,-416,160,-16.636969,12.190896,-46.776878
2935047,0,416,-1088,-16.59804,13.209767,-50.30267
2935144,288,224,-160,-15.886727,13.744558,-50.680557
2935242,-352,-64,-96,-16.674566,13.546987,-50.836479
2935339,-32,256,0,-16.710646,14.162523,-50.662018
2935437,0,192,-160,-16.671387,14.615049,-51.036339
2935534,-128,-96,64,-16.932411,14.333296,-50.642998
2935632,64,160,-64,-16.742678,14.704205,-50.688618
2935729,-224,-192,0,-17.228207,14.177688,-50.516037
2935827,-288,-224,-32,-17.863663,13.570047,-50.453144
2935924,-192,-224,160,-18.273577,12.962627,-49.740479
2936022,0,-32,-128,-18.230513,12.847417,-50.005707
2936119,160,256,-192,-17.811327,13.469429,-50.486057
2936217,384,256,736,-16.865158,14.091269,-47.826923
2936314,96,-320,128,-16.597887,13.232728,-47.225163
2936460,160,-1536,224,-16.179741,9.235282,-46.296829
2936558,-64,-704,448,-16.2931,7.342951,-44.601635
2936704,1312,-1856,-416,-13.148808,2.34213,-45.883499
2936802,32,608,1280,-13.039359,4.023484,-41.289257
2936899,-544,-512,-1280,-14.324538,2.577672,-45.679646
2936997,-640,-320,-1344,-15.85132,1.667113,-50.378246
2937143,-160,-448,192,-16.206598,0.393241,-49.481636
2937241,-96,640,-288,-16.403343,2.216282,-50.364964
2937387,-320,256,256,-17.15126,2.946774,-49.229191
2937484,-480,640,288,-18.295586,4.784461,-47.976009
2937582,32,-256,-64,-18.170399,4.024819,-48.035736
2937679,608,288,0,-16.614153,4.8539,-47.857304
2937777,-128,64,-704,-16.893747,5.027053,-50.287903
2937874,-992,-64,-352,-19.340704,4.825326,-51.415989
2937972,-608,928,1504,-20.842867,7.51909,-45.587193
2938069,-992,-160,736,-23.343821,7.02273,-42.57877
2938215,-320,-128,-160,-24.120579,6.622506,-43.036015
2938362,-160,-128,160,-24.477533,6.223577,-42.246605
2938508,96,-224,128,-24.161013,5.541541,-41.584576
2938605,32,-224,-448,-24.013498,4.860422,-43.1642
2938703,96,32,-96,-23.698742,4.941082,-43.370419
2938800,32,-160,-448,-23.552696,4.452055,-44.94521
2938898,224,96,224,-22.904572,4.72357,-43.894146
2938995,-768,-224,864,-24.218107,4.598619,-42.514019
2939239,832,288,1664,-21.938572,5.440173,-35.691368
2939337,288,288,640,-21.101549,6.281472,-32.909252
2939483,160,0,192,-20.610767,6.26272,-31.974588
2939580,-192,-576,96,-21.075647,4.529444,-31.442589
2939678,-288,-384,-64,-21.800169,3.362916,-31.577715
2939776,544,192,224,-20.260403,3.931963,-30.52066
2939873,416,-192,384,-19.063026,3.340472,-28.804598
2939971,320,-128,736,-18.126892,2.943622,-25.625425
2940068,0,-736,32,-18.076645,0.711776,-25.383244
2940166,800,-1344,-1312,-15.81442,-3.397115,-30.774044
2940263,-896,544,-608,-18.281284,-1.684881,-33.244183
2940361,544,-576,576,-16.682217,-3.495255,-30.618296
2940458,-384,864,160,-17.735546,-0.738091,-29.790318
2940556,-480,-192,640,-19.067039,-1.354533,-26.882576
