,Timestamp,AX,AY,AZ,fAX,fAY,fAZ
129,18:10:23:157,1056,448,544,-90.705231,-31.34856,-48.011658
130,18:10:23:290,96,736,-448,-88.833473,-22.897728,-52.257874
131,18:10:23:383,0,320,-288,-87.948479,-19.105831,-54.753788
132,18:10:23:475,128,-352,-224,-85.81459,-22.771536,-56.535179
133,18:10:23:563,-64,320,32,-85.600227,-19.013592,-55.609924
134,18:10:23:651,672,0,32,-78.224846,-18.806,-54.702221
135,18:10:23:829,64,352,0,-76.833038,-14.79974,-54.140305
136,18:10:23:921,2720,2528,-1792,-49.652161,12.578907,-71.829681
137,18:10:24:010,-448,0,0,-53.698509,12.438173,-71.081009
138,18:10:24:098,0,224,-96,-53.154274,14.779544,-71.338425
139,18:10:24:240,544,-1024,-224,-47.156479,3.361551,-72.900063
140,18:10:24:415,-416,160,32,-50.867653,5.099549,-71.834648
141,18:10:24:508,-64,512,224,-50.999424,10.679431,-68.854057
142,18:10:24:597,224,-192,384,-48.266735,8.450533,-64.310516
143,18:10:24:684,-64,-96,160,-48.422382,7.309813,-62.062359
144,18:10:24:774,-352,-640,-256,-51.397144,0.302368,-63.995365
145,18:10:24:909,-160,-1408,-480,-52.457355,-14.973061,-68.116592
146,18:10:25:048,96,576,-256,-51.018997,-8.455096,-69.974815
147,18:10:25:180,160,-32,64,-48.988163,-8.714948,-68.65786
148,18:10:25:271,96,-160,160,-47.60033,-10.367134,-66.426147
149,18:10:25:365,32,-320,128,-46.843449,-13.722119,-64.538376
150,18:10:25:457,0,96,-32,-46.401535,-12.538779,-64.224281
151,18:10:25:546,-224,192,32,-48.062847,-10.351651,-63.303703
153,18:10:25:770,64,-64,0,-45.40435,-11.143336,-61.509544
154,18:10:25:866,224,-160,-128,-42.930676,-12.69399,-62.131378
155,18:10:25:955,-1184,384,1664,-53.368095,-8.592147,-46.116669
156,18:10:26:040,1056,64,1376,-43.085274,-7.843388,-32.596817
157,18:10:26:134,1024,-1760,1536,-33.069813,-25.757385,-17.408752
158,18:10:26:231,-448,160,64,-37.009617,-23.812239,-16.603815
159,18:10:26:350,-448,384,-1056,-40.907082,-19.570574,-26.796736
160,18:10:26:486,-32,448,416,-40.822727,-14.718573,-22.408079
161,18:10:26:577,128,160,-32,-39.238609,-12.907524,-22.503038
162,18:10:26:759,-384,64,288,-42.454262,-12.115788,-19.458612
163,18:10:26:893,0,-32,-96,-42.059261,-12.318711,-20.206369
164,18:10:27:036,-320,0,352,-44.623569,-12.194217,-16.599886
165,18:10:27:208,288,-96,-96,-41.566059,-13.032902,-17.367466
166,18:10:27:300,-320,-576,-64,-44.118858,-18.620216,-17.814659
167,18:10:27:386,96,192,-64,-42.838837,-16.52733,-18.253763
168,18:10:27:474,-64,320,-192,-43.03093,-13.202424,-19.891581
169,18:10:27:563,-128,320,64,-43.795635,-9.920852,-19.105465
170,18:10:27:657,-96,-64,0,-44.262058,-10.451741,-18.927803
171,18:10:27:743,-192,192,-64,-45.571697,-8.481507,-19.343227
172,18:10:27:834,8352,1760,-512,28.431393,8.631594,-23.846527
173,18:10:27:924,4032,-576,2656,69.218323,2.832284,0.664642
174,18:10:28:013,768,160,3008,76.823601,4.393882,29.368835
175,18:10:28:193,256,128,2112,78.779358,5.613719,50.23148
176,18:10:28:328,-512,128,-1536,72.377853,6.812642,33.850563
177,18:10:28:418,448,320,128,76.451408,9.858295,34.843109
178,18:10:28:512,-288,0,-992,72.512344,9.762761,24.110859
179,18:10:28:643,224,-1120,-576,74.143829,-1.082565,17.777428
180,18:10:28:823,352,-320,-704,77.113258,-4.182802,10.149994
181,18:10:28:959,672,-800,-1216,83.438126,-11.892956,-2.855066
182,18:10:29:141,1024,-1440,2400,93.449493,-25.812172,22.974922
183,18:10:29:231,-1248,-192,608,79.058525,-27.46167,29.492565
184,18:10:29:364,384,-1152,288,82.381081,-38.549953,32.373764
185,18:10:29:501,-352,128,-544,77.670952,-36.887547,25.988104
187,18:10:29:680,800,-288,832,85.485954,-39.377422,34.920765
188,18:10:29:772,-256,-416,-864,81.778671,-43.093502,24.91057
189,18:10:29:998,256,640,-64,83.662399,-36.369595,23.913979
190,18:10:30:177,320,192,1312,86.199127,-34.11348,38.21711
193,18:10:30:264,-160,-288,-256,83.572388,-36.608376,34.903648
194,18:10:30:488,-224,512,1696,80.309669,-31.242918,53.510151
195,18:10:30:761,-1280,128,-64,65.944099,-29.68383,52.16571
196,18:10:30:852,2368,32,-2912,90.648407,-29.083876,18.558229
197,18:10:31:031,1664,-64,-4224,108.113998,-29.42062,-31.790506
198,18:10:31:121,-864,608,-1152,97.109108,-23.327618,-46.029343
199,18:10:31:212,-160,736,-608,94.175751,-16.047272,-53.238823
200,18:10:31:348,1056,-1280,-1056,105.080582,-28.231352,-66.081154
201,18:10:31:434,1376,-1696,-1024,119.599236,-44.553173,-78.433853
202,18:10:31:622,416,608,320,123.031105,-38.019936,-73.265396
203,18:10:31:704,1600,800,64,140.035492,-29.605682,-71.493774
204,18:10:31:797,0,-96,-1312,138.395081,-30.276648,-87.343246
205,18:10:31:887,736,-608,-832,145.333679,-36.064163,-96.967476
206,18:10:32:022,1760,-352,-800,164.084808,-39.233597,-106.069664
207,18:10:32:109,-1248,224,1120,147.357224,-36.602741,-90.181099
208,18:10:32:248,-2656,-160,1984,113.621658,-37.830181,-63.003616
209,18:10:32:344,256,512,352,115.408394,-32.401619,-57.416595
210,18:10:32:432,352,1504,864,118.348885,-17.217237,-45.076492
211,18:10:32:514,-928,-832,736,105.443909,-25.433542,-34.566479
212,18:10:32:608,3744,864,192,150.688858,-16.410767,-31.511963
213,18:10:32:741,1024,-192,-1664,162.185257,-18.205173,-53.3251
214,18:10:32:834,-2240,2592,-768,130.43544,8.291372,-63.052086
215,18:10:32:919,-1120,1152,-2784,113.350998,20.378298,-100.10302
216,18:10:33:012,-448,-448,2592,105.598145,15.36931,-61.997089
217,18:10:33:100,-2432,1216,2304,70.645889,28.191113,-27.222649
218,18:10:33:191,3904,-448,-2528,125.333771,23.03998,-65.133728
219,18:10:33:284,800,-1856,1344,135.539932,2.741799,-43.054676
220,18:10:33:417,640,2560,-1280,143.15744,31.086832,-62.666058
221,18:10:33:503,-2816,2240,-5792,98.700447,56.526588,-154.261917
222,18:10:33:600,-1152,-2112,-3808,79.110199,30.758499,-218.228378
223,18:10:33:686,4864,-256,-1888,154.718781,27.246771,-249.019028
224,18:10:33:773,-2752,3328,3456,105.249214,67.405968,-179.736969
225,18:10:33:866,-800,-1504,-288,89.235481,47.286003,-181.868637
226,18:10:33:953,1856,-224,-1792,120.492218,43.750042,-213.025467
227,18:10:34:049,-1376,544,-5600,93.574539,50.220909,-318.515869
228,18:10:34:179,1952,32,-704,127.376663,49.985928,-326.700378
229,18:10:34:274,-1120,-1152,7104,104.281059,34.676727,-171.047638
230,18:10:34:362,-1664,640,768,71.348907,42.470173,-148.984711
231,18:10:34:542,-1184,2112,3584,47.600609,69.090752,-61.71978
232,18:10:34:632,3008,1632,-5568,103.918457,89.749985,-196.658707
233,18:10:34:720,-1600,-160,896,70.262512,86.391273,-167.720047
234,18:10:34:809,-2560,-640,4064,17.61422,76.704666,-56.213081
235,18:10:34:900,-1728,64,-1184,-18.405788,76.53508,-87.550072
236,18:10:35:035,5280,2496,-4416,92.375793,108.41362,-207.136536
237,18:10:35:136,1184,672,-416,117.048103,116.092613,-213.223831
238,18:10:35:262,-3072,-1216,5248,45.059879,97.987442,-57.937256
239,18:10:35:439,-3200,-576,288,-31.037506,88.712296,-47.359962
240,18:10:35:530,-640,-192,3424,-45.874119,84.851021,56.32177
241,18:10:35:621,-3264,3808,2080,-123.324707,135.648773,118.960106
242,18:10:35:711,4608,-704,-2752,-5.154162,123.517601,29.384277
243,18:10:35:802,-3840,864,1024,-107.207283,134.23819,61.150761
244,18:10:35:890,-2336,3296,2176,-169.290268,180.018997,127.866219
245,18:10:35:980,6688,4832,-96,24.592518,250.551041,120.739708
246,18:10:36:072,-1824,8192,192,-32.99131,380.014099,122.947746
247,18:10:36:162,-576,96,-800,-49.982601,374.748138,95.170876
248,18:10:36:251,256,5152,2304,-40.600864,462.196594,160.861008
249,18:10:36:346,3136,-512,4000,54.460453,443.044006,276.48938
250,18:10:36:429,-2176,2368,6112,-14.338127,480.867676,459.79538
251,18:10:36:523,1760,1632,3200,41.048191,503.887482,552.659546
252,18:10:36:609,-512,640,608,23.731771,506.616241,554.569519
253,18:10:36:701,1504,-1152,1504,69.154938,473.931183,586.277954
254,18:10:36:790,2240,416,-4192,135.640549,472.775238,429.017822
255,18:10:36:880,-2848,-1664,1024,43.246929,430.925385,449.724304
256,18:10:36:972,-800,928,-1024,16.455267,440.873718,399.591156
257,18:10:37:061,3360,2624,-4640,121.097282,484.126465,229.073044
258,18:10:37:239,-256,-832,-160,108.912994,457.463776,215.101974
259,18:10:37:419,3168,448,1920,205.359985,457.271027,274.644165
260,18:10:37:602,19552,5568,7520,831.68512,559.308472,527.189758
261,18:10:37:780,2816,5728,7488,916.953003,670.602051,794.31543
262,18:10:38:005,6560,-1408,-14848,1158.281738,622.36438,139.106583
263,18:10:38:096,-1344,-2688,-4160,1044.602783,544.236267,-84.98317
264,18:10:38:273,-2912,-5312,4192,864.452026,400.48938,144.151489
265,18:10:38:410,10144,-2560,8768,1299.046143,321.476715,618.120667
266,18:10:38:547,512,1504,-1088,1257.643921,353.986786,514.834534
267,18:10:39:141,2048,2816,672,1297.732666,421.377045,524.094055
268,18:10:39:312,-320,512,-192,1218.4646,423.907043,484.133789
269,18:10:39:490,-480,448,96,1136.684814,424.562561,463.341431
270,18:10:39:719,864,448,-2240,1123.753052,425.183655,324.874268
273,18:10:39:943,544,-128,-640,1023.813538,374.403687,233.192703
274,18:10:40:033,0,-1312,-672,979.354675,331.420441,189.699677
275,18:10:40:165,-224,-96,-704,928.292114,320.447968,148.020355
276,18:10:40:300,-480,-96,0,869.643677,309.937897,141.31221
277,18:10:40:449,-160,192,32,827.366577,307.011139,136.559631
278,18:10:40:980,928,64,-3200,831.414062,301.113037,-2.751335
279,18:10:41:064,768,-320,224,828.957397,286.325439,6.917331
280,18:10:41:205,128,-192,-1824,802.783325,275.067261,-68.285751
281,18:10:41:381,-1600,64,448,715.123535,270.168335,-47.201054
282,18:10:41:561,-544,3328,672,668.752991,339.817688,-18.702072
283,18:10:41:650,-192,-1024,-672,637.4375,307.631683,-43.947201
284,18:10:42:100,-32,224,-608,613.547241,305.65213,-65.196594
285,18:10:42:191,0,480,1312,592.132812,309.690063,-14.654129
286,18:10:42:370,160,-128,576,577.386169,299.748749,6.810234
287,18:10:42:683,-3712,-7104,288,434.65741,133.913727,16.782696
288,18:10:42:774,-1024,1600,-224,383.794586,170.669662,8.490976
289,18:10:42:914,-704,800,480,346.109436,186.501541,24.260633
290,18:10:43:270,1312,-704,-32,379.130524,164.380966,22.423279
291,18:10:43:404,160,-96,448,371.751495,157.960098,35.896858
292,18:10:43:584,-704,-128,320,336.558014,151.043198,44.687328
293,18:10:43:772,672,-640,-544,347.40567,132.256744,26.921986
294,18:10:43:855,736,0,512,359.657623,129.141251,41.29414
295,18:10:43:943,-32,576,-64,347.596344,139.45195,38.235661
296,18:10:44:033,-32,-1056,-512,336.169586,112.255028,22.672319
297,18:10:44:125,320,-416,-1600,335.693573,100.229836,-22.4398
298,18:10:44:348,-160,1888,800,321.51416,140.431763,0.508303
299,18:10:44:530,-544,-896,-320,297.212524,116.841438,-8.331075
300,18:10:44:844,-320,-480,-480,280.072235,103.289917,-21.069174
301,18:10:45:789,672,-32,384,290.789307,100.251259,-10.319547
302,18:10:46:060,-256,0,256,276.124542,98.043213,-3.380408
303,18:10:46:601,224,224,320,274.748596,100.762962,4.874147
304,18:10:46:691,-2400,-768,640,205.888351,82.355217,20.782419
305,18:10:47:004,384,256,288,210.591492,86.019424,27.392876
306,18:10:47:096,128,160,-544,208.459351,87.553482,13.527004
307,18:10:47:185,-608,64,-192,187.879333,87.07431,8.603374
308,18:10:47:730,320,0,-384,191.179459,85.337379,-0.618709
