,Timestamp,Data,AX,AY,AZ,fAX,fAY,fAZ
123,18:18:09:847,0001811074 [app] INFO: ACCEL: ,-1952.0,992.0,1184.0,9.639064,-10.160277,-30.535545
124,18:18:09:937,0001811164 [app] INFO: ACCEL: ,1216.0,128.0,-672.0,13.351642,-9.777613,-33.435574
125,18:18:10:027,0001811254 [app] INFO: ACCEL: ,0.0,-288.0,-160.0,13.309692,-10.5482,-34.012463
126,18:18:10:117,0001811344 [app] INFO: ACCEL: ,736.0,416.0,352.0,15.573769,-9.363523,-32.256557
127,18:18:10:207,0001811434 [app] INFO: ACCEL: ,-160.0,288.0,-672.0,15.017541,-8.53292,-35.175728
128,18:18:10:297,0001811524 [app] INFO: ACCEL: ,-96.0,128.0,0.0,14.665714,-8.150359,-35.013912
129,18:18:10:387,0001811614 [app] INFO: ACCEL: ,192.0,-1344.0,-736.0,15.22717,-11.893068,-38.22604
130,18:18:10:488,0001811704 [app] INFO: ACCEL: ,-384.0,-96.0,352.0,13.962716,-12.134316,-36.421227
131,18:18:10:568,0001811794 [app] INFO: ACCEL: ,448.0,256.0,-1472.0,15.343989,-11.366128,-43.081623
132,18:18:10:657,0001811884 [app] INFO: ACCEL: ,96.0,192.0,512.0,15.602067,-10.782054,-40.444954
133,18:18:10:747,0001811977 [app] INFO: ACCEL: ,-448.0,-480.0,896.0,14.121016,-12.131253,-35.968903
134,18:18:10:837,0001812064 [app] INFO: ACCEL: ,-736.0,32.0,480.0,11.710188,-12.003537,-33.468639
135,18:18:10:928,0001812154 [app] INFO: ACCEL: ,-256.0,1152.0,3424.0,10.839721,-8.641668,-16.624147
136,18:18:11:017,0001812244 [app] INFO: ACCEL: ,800.0,-480.0,2304.0,13.411031,-10.030631,-4.599105
137,18:18:11:108,0001812334 [app] INFO: ACCEL: ,-128.0,-480.0,320.0,12.944545,-11.42441,-2.848519
138,18:18:11:197,0001812424 [app] INFO: ACCEL: ,-64.0,-192.0,-160.0,12.690842,-11.96336,-3.696945
139,18:18:11:290,0001812514 [app] INFO: ACCEL: ,224.0,768.0,160.0,13.386349,-9.634034,-2.815179
140,18:18:11:377,0001812604 [app] INFO: ACCEL: ,-96.0,640.0,-832.0,13.025982,-7.669625,-7.272181
141,18:18:11:467,0001812694 [app] INFO: ACCEL: ,64.0,-896.0,-448.0,13.193727,-10.382412,-9.667362
142,18:18:11:557,0001812784 [app] INFO: ACCEL: ,608.0,-352.0,-1792.0,15.146667,-11.44089,-19.385735
143,18:18:11:648,0001812874 [app] INFO: ACCEL: ,-576.0,960.0,2080.0,13.189156,-8.419808,-7.597112
144,18:18:11:749,0001812970 [app] INFO: ACCEL: ,576.0,96.0,-1408.0,15.068574,-8.08981,-15.743268
145,18:18:11:834,0001813054 [app] INFO: ACCEL: ,-480.0,896.0,-960.0,13.402389,-5.235686,-21.356295
146,18:18:12:008,0001813234 [app] INFO: ACCEL: ,-160.0,160.0,-768.0,11.904379,-3.255898,-17.210655
147,18:18:12:098,0001813324 [app] INFO: ACCEL: ,-1920.0,160.0,3168.0,5.347076,-2.729814,2.576472
148,18:18:12:188,0001813414 [app] INFO: ACCEL: ,-64.0,128.0,416.0,5.103462,-2.30853,5.290413
149,18:18:12:277,0001813504 [app] INFO: ACCEL: ,64.0,-64.0,-992.0,5.309925,-2.507212,-1.267082
150,18:18:12:367,0001813594 [app] INFO: ACCEL: ,0.0,1760.0,-992.0,5.291354,3.157808,-7.867131
151,18:18:12:457,0001813684 [app] INFO: ACCEL: ,1024.0,-64.0,-864.0,8.842117,2.935082,-13.644265
152,18:18:12:549,0001813774 [app] INFO: ACCEL: ,384.0,160.0,672.0,10.171663,3.454953,-8.970435
153,18:18:12:638,0001813864 [app] INFO: ACCEL: ,-1728.0,-96.0,1088.0,3.987506,3.125825,-1.442199
154,18:18:12:729,0001813954 [app] INFO: ACCEL: ,256.0,192.0,-544.0,4.911896,3.750043,-5.220828
155,18:18:12:817,0001814044 [app] INFO: ACCEL: ,-96.0,-640.0,-1216.0,4.541248,1.621511,-13.685178
156,18:18:12:907,0001814134 [app] INFO: ACCEL: ,-2208.0,-224.0,2976.0,-3.571909,0.86842,7.56913
157,18:18:12:997,0001814224 [app] INFO: ACCEL: ,-544.0,672.0,960.0,-5.6334,3.111145,14.691368
158,18:18:13:132,0001814314 [app] INFO: ACCEL: ,960.0,-800.0,-1664.0,-1.92443,0.400539,1.995809
159,18:18:13:222,0001814449 [app] INFO: ACCEL: ,768.0,1696.0,-3008.0,1.078186,6.195461,-21.349884
160,18:18:13:320,0001814539 [app] INFO: ACCEL: ,2304.0,3008.0,-1568.0,10.161637,16.765057,-33.964214
161,18:18:13:402,0001814629 [app] INFO: ACCEL: ,832.0,1056.0,-2528.0,13.538597,20.629549,-54.759693
162,18:18:13:492,0001814719 [app] INFO: ACCEL: ,-2880.0,-480.0,2208.0,1.503796,18.736404,-35.123409
163,18:18:13:583,0001814809 [app] INFO: ACCEL: ,992.0,1696.0,-1728.0,5.842783,25.118156,-50.341034
164,18:18:13:672,0001814899 [app] INFO: ACCEL: ,832.0,1568.0,1312.0,9.517144,31.161764,-37.796612
165,18:18:13:762,0001814989 [app] INFO: ACCEL: ,-32.0,-928.0,1184.0,9.330289,27.304281,-26.348078
166,18:18:13:854,0001815079 [app] INFO: ACCEL: ,2048.0,608.0,-256.0,18.472111,29.674763,-28.531595
167,18:18:13:942,0001815169 [app] INFO: ACCEL: ,5376.0,-1216.0,-1344.0,43.359787,24.551842,-40.977566
168,18:18:14:033,0001815259 [app] INFO: ACCEL: ,4576.0,-1728.0,-384.0,66.552414,17.195797,-44.27634
169,18:18:14:167,0001815349 [app] INFO: ACCEL: ,384.0,1312.0,-1472.0,68.314148,22.796682,-57.968075
170,18:18:14:257,0001815484 [app] INFO: ACCEL: ,-480.0,-1088.0,-2560.0,65.268867,17.889101,-82.40641
171,18:18:14:348,0001815574 [app] INFO: ACCEL: ,-7744.0,-3840.0,3104.0,21.666151,0.544339,-50.05788
172,18:18:14:437,0001815664 [app] INFO: ACCEL: ,1216.0,4448.0,-128.0,29.326735,21.978743,-50.890587
173,18:18:14:527,0001815754 [app] INFO: ACCEL: ,1664.0,3968.0,-4128.0,39.992111,42.57999,-94.054977
174,18:18:14:618,0001815844 [app] INFO: ACCEL: ,2432.0,-1824.0,1792.0,56.00106,32.124832,-72.703568
175,18:18:14:709,0001815934 [app] INFO: ACCEL: ,-704.0,-1824.0,-9056.0,50.708393,21.402414,-177.011261
176,18:18:14:800,0001816024 [app] INFO: ACCEL: ,1408.0,3456.0,-8160.0,60.236912,41.857311,-284.88031
177,18:18:14:888,0001816114 [app] INFO: ACCEL: ,-608.0,-1152.0,4288.0,55.452877,34.306892,-214.329956
178,18:18:14:984,0001816204 [app] INFO: ACCEL: ,-3296.0,-352.0,-1376.0,31.313641,31.821495,-233.567383
179,18:18:15:069,0001816294 [app] INFO: ACCEL: ,-480.0,-3712.0,5568.0,27.41396,7.704994,-136.898499
180,18:18:15:159,0001816384 [app] INFO: ACCEL: ,-1600.0,-2528.0,8864.0,14.97096,-9.731523,27.425753
181,18:18:15:248,0001816474 [app] INFO: ACCEL: ,1664.0,352.0,-3520.0,27.88763,-7.136714,-47.384491
182,18:18:15:338,0001816564 [app] INFO: ACCEL: ,-4128.0,-3232.0,-4224.0,-5.468705,-30.26984,-139.629211
183,18:18:15:430,0001816654 [app] INFO: ACCEL: ,-1088.0,-1856.0,-10560.0,-14.798487,-44.105518,-383.16983
184,18:18:15:607,0001816834 [app] INFO: ACCEL: ,416.0,-3488.0,7552.0,-42.219841,-61.200462,-254.07901
185,18:18:15:698,0001816924 [app] INFO: ACCEL: ,11200.0,3040.0,-8032.0,62.047176,-35.108627,-504.356781
186,18:18:15:788,0001817014 [app] INFO: ACCEL: ,3104.0,4448.0,3232.0,96.215408,4.594525,-370.406586
187,18:18:15:882,0001817104 [app] INFO: ACCEL: ,6144.0,2656.0,-12032.0,167.43042,29.936642,-803.052246
188,18:18:16:014,0001817194 [app] INFO: ACCEL: ,-640.0,-3456.0,-5504.0,156.911438,-4.799127,-1008.724426
189,18:18:16:106,0001817329 [app] INFO: ACCEL: ,-1280.0,-512.0,5696.0,138.137985,-10.148493,-702.464172
190,18:18:16:199,0001817419 [app] INFO: ACCEL: ,64.0,-6048.0,-2048.0,137.154739,-73.796608,-768.734558
191,18:18:16:288,0001817509 [app] INFO: ACCEL: ,832.0,2144.0,-4512.0,146.262726,-47.900444,-948.944824
192,18:18:16:383,0001817599 [app] INFO: ACCEL: ,-7168.0,-15136.0,10176.0,50.330482,-229.674896,-401.589081
193,18:18:16:466,0001817689 [app] INFO: ACCEL: ,6144.0,2080.0,-4512.0,140.588303,-194.01152,-634.794739
194,18:18:16:554,0001817779 [app] INFO: ACCEL: ,-3840.0,-7168.0,4352.0,75.524452,-304.879303,-346.320312
195,18:18:16:644,0001817869 [app] INFO: ACCEL: ,-1888.0,-7520.0,-1440.0,41.475842,-433.253479,-411.735565
196,18:18:16:737,0001817967 [app] INFO: ACCEL: ,-2048.0,3008.0,2560.0,4.486881,-364.588043,-240.564026
197,18:18:16:826,0001818049 [app] INFO: ACCEL: ,-896.0,480.0,2304.0,-11.819429,-346.951721,-94.216949
198,18:18:16:916,0001818139 [app] INFO: ACCEL: ,-736.0,3680.0,-3456.0,-24.927658,-263.220184,-285.824158
199,18:18:17:005,0001818229 [app] INFO: ACCEL: ,1120.0,8160.0,-3232.0,-4.282526,-78.130714,-454.757843
200,18:18:17:097,0001818319 [app] INFO: ACCEL: ,320.0,-6016.0,-10720.0,1.59045,-226.77211,-1042.370483
201,18:18:17:186,0001818409 [app] INFO: ACCEL: ,3840.0,3648.0,-11616.0,70.30497,-121.212997,-1724.814819
202,18:18:17:276,0001818499 [app] INFO: ACCEL: ,-1152.0,-1280.0,-4064.0,47.189266,-154.257858,-1894.453735
203,18:18:17:367,0001818589 [app] INFO: ACCEL: ,-2336.0,-2080.0,-512.0,1.89516,-208.853546,-1796.911865
204,18:18:17:454,0001818679 [app] INFO: ACCEL: ,-2112.0,2592.0,6784.0,-39.374039,-128.748245,-1216.791138
205,18:18:17:548,0001818769 [app] INFO: ACCEL: ,544.0,-5024.0,1184.0,-27.740152,-272.262268,-1040.585327
206,18:18:17:635,0001818859 [app] INFO: ACCEL: ,-3008.0,-3616.0,-1504.0,-86.678093,-376.531891,-1073.684692
207,18:18:17:727,0001818949 [app] INFO: ACCEL: ,-1632.0,1472.0,4704.0,-118.39547,-317.013306,-685.193665
208,18:18:17:812,0001819039 [app] INFO: ACCEL: ,-32.0,352.0,-1088.0,-116.605293,-295.397888,-713.299805
209,18:18:17:904,0001819129 [app] INFO: ACCEL: ,1184.0,2176.0,-6656.0,-90.158241,-217.045547,-1103.828369
210,18:18:17:997,0001819219 [app] INFO: ACCEL: ,3424.0,480.0,-2784.0,-18.339474,-194.601105,-1218.904053
211,18:18:18:084,0001819309 [app] INFO: ACCEL: ,320.0,-672.0,1312.0,-11.097267,-209.69458,-1051.581543
212,18:18:18:176,0001819399 [app] INFO: ACCEL: ,-1376.0,-64.0,3232.0,-39.890419,-205.188141,-773.375366
213,18:18:18:263,0001819489 [app] INFO: ACCEL: ,-640.0,-768.0,-96.0,-52.619686,-222.121735,-728.758789
214,18:18:18:361,0001819579 [app] INFO: ACCEL: ,-832.0,32.0,608.0,-68.998398,-214.618088,-645.102661
215,18:18:18:444,0001819669 [app] INFO: ACCEL: ,96.0,-1568.0,1216.0,-65.550491,-253.625854,-532.738464
216,18:18:18:534,0001819759 [app] INFO: ACCEL: ,288.0,-576.0,352.0,-58.290314,-262.894592,-480.599152
217,18:18:18:624,0001819849 [app] INFO: ACCEL: ,-64.0,384.0,-1248.0,-58.405998,-244.701935,-524.019653
218,18:18:18:715,0001819939 [app] INFO: ACCEL: ,128.0,128.0,-288.0,-54.70377,-234.378876,-511.197052
219,18:18:18:810,0001820029 [app] INFO: ACCEL: ,32.0,-736.0,-1024.0,-53.009102,-247.996292,-537.739563
220,18:18:18:894,0001820119 [app] INFO: ACCEL: ,1120.0,-480.0,-2144.0,-30.483322,-254.187881,-617.557983
221,18:18:18:983,0001820209 [app] INFO: ACCEL: ,1024.0,-672.0,-1696.0,-10.158054,-265.097443,-670.171143
222,18:18:19:073,0001820299 [app] INFO: ACCEL: ,704.0,224.0,800.0,3.62642,-252.550171,-600.378296
223,18:18:19:253,0001820479 [app] INFO: ACCEL: ,1792.0,-1120.0,384.0,45.359314,-256.958527,-465.62915
224,18:18:19:344,0001820569 [app] INFO: ACCEL: ,-928.0,192.0,992.0,26.584114,-245.834351,-400.134155
225,18:18:19:478,0001820659 [app] INFO: ACCEL: ,672.0,-704.0,-480.0,39.031181,-257.009216,-403.664124
226,18:18:19:569,0001820794 [app] INFO: ACCEL: ,-736.0,4032.0,1920.0,24.18158,-153.97583,-305.158173
227,18:18:19:658,0001820884 [app] INFO: ACCEL: ,-736.0,832.0,512.0,9.67302,-128.912048,-270.446777
